722,86.8855,0.273243
723,86.7849,0.272801
724,86.6871,0.272292
725,86.5877,0.271355
726,86.4893,0.269902
727,86.3858,0.267778
728,86.2861,0.265472
729,86.1999,0.26305
730,86.0958,0.260674
731,85.9959,0.258209
732,85.8926,0.25579
733,85.7896,0.25407
734,85.6873,0.25272
735,85.5862,0.251926
736,85.4831,0.251142
737,85.3542,0.249812
738,85.2311,0.248816
739,85.2627,0.247698
740,85.181,0.24799
741,85.0744,0.247419
742,84.9772,0.247402
743,84.89,0.248397
744,84.7891,0.248997
745,84.6872,0.248869
746,84.5662,0.248084
747,84.4589,0.247787
748,84.3441,0.246743
749,84.2684,0.246542
750,84.2025,0.247738
751,84.0991,0.247913
752,83.9583,0.248705
753,83.8671,0.249461
754,83.7631,0.249142
755,83.6639,0.248821
756,83.5607,0.248647
757,83.4565,0.248187
758,83.3507,0.247454
759,83.2467,0.246867
760,83.1407,0.246478
761,83.0374,0.245949
762,82.935,0.245099
763,82.8329,0.24408
764,82.7307,0.2428
765,82.6289,0.241218
766,82.5238,0.239897
767,82.4231,0.239043
768,82.3231,0.238214
769,82.2241,0.23722
770,82.126,0.23595
771,82.0303,0.234612
772,81.9308,0.232827
773,81.8323,0.231255
774,81.7359,0.229474
775,81.6373,0.22823
776,81.5448,0.226857
777,81.4512,0.225274
778,81.359,0.223467
779,81.2678,0.221623
780,81.1773,0.21958
781,81.0889,0.217248
782,80.9993,0.214804
783,80.913,0.212155
784,80.8282,0.209565
785,80.746,0.207199
786,80.6561,0.20511
787,80.5757,0.202882
788,80.4956,0.200512
789,80.4206,0.198213
790,80.3389,0.196015
791,80.2617,0.194158
792,80.1825,0.192364
793,80.1101,0.190724
794,80.0385,0.189025
795,79.9697,0.187294
796,79.8982,0.185622
797,79.8315,0.184643
798,79.7719,0.184382
799,79.7091,0.184167
800,79.6487,0.183662
801,79.5874,0.183022
802,79.5321,0.182586
803,79.4892,0.182271
804,79.4326,0.182223
805,79.3764,0.182668
806,79.3311,0.183144
807,79.2856,0.183581
808,79.2426,0.183759
809,79.1935,0.183817
810,79.1497,0.184278
811,79.1114,0.185015
812,79.0717,0.185901
813,79.0321,0.186707
814,78.9947,0.187871
815,78.9566,0.188893
816,78.9123,0.189718
817,78.881,0.190316
818,78.8552,0.191597
819,78.824,0.193532
820,78.7953,0.195671
821,78.7582,0.196994
822,78.7405,0.197809
823,78.7216,0.199027
824,78.6939,0.201355
825,78.6676,0.204008
826,78.6458,0.206441
827,78.6252,0.20874
828,78.606,0.210766
829,78.5866,0.212499
830,78.5747,0.214631
831,78.5592,0.21705
832,78.5425,0.219232
833,78.53,0.221421
834,78.5158,0.223881
835,78.5044,0.226463
836,78.4927,0.229156
837,78.487,0.232027
838,78.4766,0.234887
839,78.4679,0.23751
840,78.4603,0.239837
841,78.4509,0.241777
842,78.4388,0.243736
843,78.4338,0.246311
844,78.4301,0.249102
845,78.4164,0.251589
846,78.4086,0.253861
847,78.4023,0.25607
848,78.3999,0.258299
849,78.3937,0.260331
850,78.3828,0.262084
851,78.3799,0.26374
852,78.376,0.265196
853,78.3704,0.266418
854,78.3656,0.267583
855,78.3588,0.26866
856,78.3506,0.269812
857,78.3458,0.27088
858,78.3351,0.271886
859,78.33,0.272781
860,78.3197,0.273413
861,78.3105,0.273876
862,78.2981,0.274216
863,78.2834,0.274717
864,78.2703,0.274928
865,78.2635,0.275602
866,78.2583,0.276198
867,78.2165,0.276443
868,78.2336,0.277976
869,79.1218,0.277311
870,81.4697,0.282613
871,81.4475,0.283202
872,81.4348,0.283977
873,81.4151,0.284679
874,81.392,0.285149
875,81.3649,0.285382
876,81.3378,0.285594
877,81.3101,0.285606
878,81.2929,0.285743
879,81.26,0.28611
880,81.2278,0.286285
881,81.1873,0.286536
882,81.1542,0.28671
883,81.1137,0.286817
884,81.0722,0.286959
885,81.0316,0.287348
886,80.9904,0.287543
887,80.9473,0.28751
888,80.8946,0.287545
889,80.8531,0.288114
890,80.805,0.288374
891,80.7562,0.288234
892,80.704,0.287836
893,80.6493,0.287192
894,80.5986,0.286806
895,80.5544,0.286487
896,80.4974,0.286178
897,80.4361,0.285745
898,80.3762,0.285313
899,80.3155,0.284916
900,80.2519,0.284539
901,80.1878,0.2839
902,80.1202,0.28301
903,80.0525,0.281907
904,79.9821,0.280574
